ProdMaterialCode,MaterialCode,MaterialName,Unit,Workshop
TA0125,1201200005,PHOSPHORIC  ACID (LS),LITER,ANODIZE
TA0126,1201200005,PHOSPHORIC  ACID (LS),LITER,POLYMER
TA0127,1401990003,PIECE OF CLOTHES,KG,POLYMER
TA0128,1401990003,PIECE OF CLOTHES,KG,PSLB
TA0129,1201701006,PLA-REEL EIAJRRM08B-I,PC,PSLA
TA0130,1201701006,PLA-REEL EIAJRRM08B-I,PC,PSLB
TA0131,1201221026,POLYGLYCERIN # 500 (PG),KG,POLYMER
TA0132,1401400022,"POLYIMIDE TAPE CRYSTAL GUEST (A08,A2 AIR TAG)",PC,FPSA
TA0133,1401400022,POLYIMIDE TAPE ST-533L8 (A3),PC,FPSA
TA0134,1201221010,PTS-100,KG,POLYMER
TA0135,2405001022,PULSE ECU-B15-NT L/F,PC,PSLB
TA0136,2405001024,PULSE ECU-B2-NT L/F,PC,PSLB
TA0137,2405001023,PULSE ECU-B3-NT L/F,PC,PSLB
TA0138,1205001019,PULSE FPS- B10 L/F (PD) WAIT FOR CUTTING ,PC,FPSB
TA0139,2405001031,PULSE FPS- B10 L/F (PD) WAIT FOR WELDING ,PC,FPSB
TA0140,1205001018,PULSE FPS- B10 L/F WAIT FOR CUTTING 0.59 MM.,PC,FPSB
TA0141,2405001030,PULSE FPS- B10 L/F WAIT FOR WELDING 0.59 MM.,PC,FPSB
TA0142,1205001021,PULSE FPS- B2 L/F WAIT FOR CUTTING,PC,FPSB
TA0143,2405001034,PULSE FPS- B2 L/F WAIT FOR WELDING,PC,FPSB
TA0144,1205001020,PULSE FPS- B3 L/F (PD)C194/PD/070/FB WAIT FOR CUTTING ,PC,FPSB
TA0145,2405001033,PULSE FPS- B3 L/F (PD)C194/PD/070/FB WAIT FOR WELDING ,PC,FPSB
TA0146,1205000007,PULSE FPS- B3 L/F WAIT FOR CUTTING 0.70 MM.,PC,FPSB
TA0147,2405001026,PULSE FPS- B3 L/F WAIT FOR WELDING 0.70 MM.,PC,FPSB
TA0148,1205001016,PULSE FPS-A08 L/F  WAIT FOR CUTTING,PC,FPSA
TA0149,2405001028,PULSE FPS-A08 L/F  WAIT FOR WELDING,PC,FPSA
TA0150,1205001015,PULSE FPS-A2 L/F  WAIT FOR CUTTING,PC,FPSA
TA0151,2405001027,PULSE FPS-A2 L/F  WAIT FOR WELDING,PC,FPSA
TA0152,1205001017,PULSE FPS-A3 AIR TAG L/F   WAIT FOR CUTTING,PC,FPSA
TA0153,2405001032,PULSE FPS-A3 AIR TAG L/F   WAIT FOR WELDING,PC,FPSA
TA0154,1205000004,PULSE FPS-A3 L/F   WAIT FOR CUTTING,PC,FPSA
TA0155,2405000028,PULSE FPS-A3 L/F   WAIT FOR WELDING,PC,FPSA
TA0156,1000000003,PUNCHING OIL (RF-520),LITER,STAMPING
TA0157,Resin Tube  ( small ),RESIN TUBE  ( SMALL ),PC,GPS
TA0158,1201301008,RFE-300,KG,POLYMER
TA0159,1201301009,RFE-D,KG,POLYMER
TA0160,1401901012,RIBBON 76.2 X 210 M.,PC,PSLB
TA0161,1201500008,RUBCLEAN,KG,PSLA
TA0162,1201500008,RUBCLEAN,KG,PSLB
TA0163,1411990010,SCOTCH TAPE LOUIS 3/4 INCH*36YDS,PC,PSLB
TA0164,1201500040,SFCOAT MK-2,KG,PSLB
TA0165,1201400002,SILCOAT RN - 10AO,KG,PSLB
TA0166,1201400003,SILCOAT RN - 10BO,KG,PSLB
TA0167,1401904017,SILICA GEL ST10G (NB),PC,GPS
TA0168,1201201004,SILICONE COATING (R6102),G,ANODIZE
TA0169,1201301007,SILVER N-2061(SHOE),KG,POLYMER
